year,city,country,avg_temp,MA
1848,Baghdad,Iraq,22.11,
1849,Baghdad,Iraq,22.34,
1850,Baghdad,Iraq,21.75,
1851,Baghdad,Iraq,22.75,
1852,Baghdad,Iraq,22.34,
1853,Baghdad,Iraq,22.67,
1854,Baghdad,Iraq,21.96,
1855,Baghdad,Iraq,22.56,
1856,Baghdad,Iraq,21.96,
1857,Baghdad,Iraq,21.52,22.196
1858,Baghdad,Iraq,22.48,22.233
1859,Baghdad,Iraq,22.48,22.247
1860,Baghdad,Iraq,22.62,22.334
1861,Baghdad,Iraq,21.34,22.193
1862,Baghdad,Iraq,21.26,22.085
1863,Baghdad,Iraq,21.59,21.977
1864,Baghdad,Iraq,22.29,22.01
1865,Baghdad,Iraq,22.59,22.013
1866,Baghdad,Iraq,22.19,22.036
1867,Baghdad,Iraq,22.41,22.125
1868,Baghdad,Iraq,22.35,22.112
1869,Baghdad,Iraq,22.72,22.136
1870,Baghdad,Iraq,22.63,22.137
1871,Baghdad,Iraq,22.26,22.229
1872,Baghdad,Iraq,22.64,22.367
1873,Baghdad,Iraq,22.89,22.497
1874,Baghdad,Iraq,22.38,22.506
1875,Baghdad,Iraq,22.07,22.454
1876,Baghdad,Iraq,22.61,22.496
1877,Baghdad,Iraq,23.05,22.56
1878,Baghdad,Iraq,22.92,22.617
1879,Baghdad,Iraq,23.12,22.657
1880,Baghdad,Iraq,21.71,22.565
1881,Baghdad,Iraq,22.77,22.616
1882,Baghdad,Iraq,21.89,22.541
1883,Baghdad,Iraq,22.67,22.519
1884,Baghdad,Iraq,22.04,22.485
1885,Baghdad,Iraq,22.35,22.513
1886,Baghdad,Iraq,22.09,22.461
1887,Baghdad,Iraq,22.53,22.409
1888,Baghdad,Iraq,23.07,22.424
1889,Baghdad,Iraq,22.89,22.401
1890,Baghdad,Iraq,22.07,22.437
1891,Baghdad,Iraq,22.57,22.417
1892,Baghdad,Iraq,22.86,22.514
1893,Baghdad,Iraq,22.42,22.489
1894,Baghdad,Iraq,21.63,22.448
1895,Baghdad,Iraq,22.05,22.418
1896,Baghdad,Iraq,21.67,22.376
1897,Baghdad,Iraq,21.92,22.315
1898,Baghdad,Iraq,21.88,22.196
1899,Baghdad,Iraq,22.7,22.177
1900,Baghdad,Iraq,22.46,22.216
1901,Baghdad,Iraq,23.66,22.325
1902,Baghdad,Iraq,23.21,22.36
1903,Baghdad,Iraq,22.1,22.328
1904,Baghdad,Iraq,22.28,22.393
1905,Baghdad,Iraq,22.08,22.396
1906,Baghdad,Iraq,22.16,22.445
1907,Baghdad,Iraq,21.53,22.406
1908,Baghdad,Iraq,22.26,22.444
1909,Baghdad,Iraq,23.12,22.486
1910,Baghdad,Iraq,22.19,22.459
1911,Baghdad,Iraq,20.98,22.191
1912,Baghdad,Iraq,22.7,22.14
1913,Baghdad,Iraq,22,22.13
1914,Baghdad,Iraq,22.17,22.119
1915,Baghdad,Iraq,23,22.211
1916,Baghdad,Iraq,22.65,22.26
1917,Baghdad,Iraq,22.93,22.4
1918,Baghdad,Iraq,22.18,22.392
1919,Baghdad,Iraq,22.87,22.367
1920,Baghdad,Iraq,21.51,22.299
1921,Baghdad,Iraq,22.2,22.421
1922,Baghdad,Iraq,22.93,22.444
1923,Baghdad,Iraq,22.58,22.502
1924,Baghdad,Iraq,22.92,22.577
1925,Baghdad,Iraq,22.35,22.512
1926,Baghdad,Iraq,22.5,22.497
1927,Baghdad,Iraq,22.7,22.474
1928,Baghdad,Iraq,22.6,22.516
1929,Baghdad,Iraq,22.79,22.508
1930,Baghdad,Iraq,23,22.657
1931,Baghdad,Iraq,22.62,22.699
1932,Baghdad,Iraq,22.37,22.643
1933,Baghdad,Iraq,21.86,22.571
1934,Baghdad,Iraq,22.31,22.51
1935,Baghdad,Iraq,23.28,22.603
1936,Baghdad,Iraq,22.69,22.622
1937,Baghdad,Iraq,23.04,22.656
1938,Baghdad,Iraq,22.55,22.651
1939,Baghdad,Iraq,22.47,22.619
1940,Baghdad,Iraq,23.28,22.647
1941,Baghdad,Iraq,22.9,22.675
1942,Baghdad,Iraq,23.02,22.74
1943,Baghdad,Iraq,22.44,22.798
1944,Baghdad,Iraq,22.96,22.863
1945,Baghdad,Iraq,22.16,22.751
1946,Baghdad,Iraq,22.52,22.734
1947,Baghdad,Iraq,23.63,22.793
1948,Baghdad,Iraq,22.11,22.749
1949,Baghdad,Iraq,21.85,22.687
1950,Baghdad,Iraq,21.93,22.552
1951,Baghdad,Iraq,23.01,22.563
1952,Baghdad,Iraq,23.01,22.562
1953,Baghdad,Iraq,22.24,22.542
1954,Baghdad,Iraq,23.15,22.561
1955,Baghdad,Iraq,23.15,22.66
1956,Baghdad,Iraq,22.34,22.642
1957,Baghdad,Iraq,22.33,22.512
1958,Baghdad,Iraq,23.17,22.618
1959,Baghdad,Iraq,22.15,22.648
1960,Baghdad,Iraq,23.7,22.825
1961,Baghdad,Iraq,22.75,22.799
1962,Baghdad,Iraq,23.91,22.889
1963,Baghdad,Iraq,23.12,22.977
1964,Baghdad,Iraq,22.19,22.881
1965,Baghdad,Iraq,23.08,22.874
1966,Baghdad,Iraq,23.91,23.031
1967,Baghdad,Iraq,22,22.998
1968,Baghdad,Iraq,22.86,22.967
1969,Baghdad,Iraq,23.3,23.082
1970,Baghdad,Iraq,23.42,23.054
1971,Baghdad,Iraq,22.65,23.044
1972,Baghdad,Iraq,22.11,22.864
1973,Baghdad,Iraq,22.9,22.842
1974,Baghdad,Iraq,22.36,22.859
1975,Baghdad,Iraq,22.67,22.818
1976,Baghdad,Iraq,22.48,22.675
1977,Baghdad,Iraq,23.03,22.778
1978,Baghdad,Iraq,23.2,22.812
1979,Baghdad,Iraq,24.2,22.902
1980,Baghdad,Iraq,23.25,22.885
1981,Baghdad,Iraq,23.24,22.944
1982,Baghdad,Iraq,22.03,22.936
1983,Baghdad,Iraq,22.35,22.881
1984,Baghdad,Iraq,22.74,22.919
1985,Baghdad,Iraq,23.02,22.954
1986,Baghdad,Iraq,23.15,23.021
1987,Baghdad,Iraq,23.54,23.072
1988,Baghdad,Iraq,22.94,23.046
1989,Baghdad,Iraq,23.05,22.931
1990,Baghdad,Iraq,23.41,22.947
1991,Baghdad,Iraq,23.21,22.944
1992,Baghdad,Iraq,21.52,22.893
1993,Baghdad,Iraq,22.86,22.944
