year,city,country,avg_temp,MA
1848,Cairo,Egypt,20.89,
1849,Cairo,Egypt,20.9,
1850,Cairo,Egypt,20.39,
1851,Cairo,Egypt,21.11,
1852,Cairo,Egypt,21.04,
1853,Cairo,Egypt,21.53,
1854,Cairo,Egypt,20.74,
1855,Cairo,Egypt,21.04,
1856,Cairo,Egypt,20.49,
1857,Cairo,Egypt,20.29,20.842
1858,Cairo,Egypt,20.9,20.843
1859,Cairo,Egypt,20.98,20.851
1860,Cairo,Egypt,21.33,20.945
1861,Cairo,Egypt,20.21,20.855
1862,Cairo,Egypt,20.22,20.773
1863,Cairo,Egypt,20.6,20.68
1864,Cairo,Egypt,21.25,20.731
1865,Cairo,Egypt,21.55,20.782
1866,Cairo,Egypt,21.35,20.868
1867,Cairo,Egypt,21.45,20.984
1868,Cairo,Egypt,20.94,20.988
1869,Cairo,Egypt,21.41,21.031
1870,Cairo,Egypt,21.3,21.028
1871,Cairo,Egypt,20.87,21.094
1872,Cairo,Egypt,21.14,21.186
1873,Cairo,Egypt,21.4,21.266
1874,Cairo,Egypt,20.77,21.218
1875,Cairo,Egypt,19.99,21.062
1876,Cairo,Egypt,21.05,21.032
1877,Cairo,Egypt,21.39,21.026
1878,Cairo,Egypt,21.54,21.086
1879,Cairo,Egypt,21.49,21.094
1880,Cairo,Egypt,21.2,21.084
1881,Cairo,Egypt,21.56,21.153
1882,Cairo,Egypt,20.38,21.077
1883,Cairo,Egypt,20.65,21.002
1884,Cairo,Egypt,20.23,20.948
1885,Cairo,Egypt,20.91,21.04
1886,Cairo,Egypt,20.55,20.99
1887,Cairo,Egypt,21.21,20.972
1888,Cairo,Egypt,21.04,20.922
1889,Cairo,Egypt,21.05,20.878
1890,Cairo,Egypt,21.09,20.867
1891,Cairo,Egypt,21.13,20.824
1892,Cairo,Egypt,21.39,20.925
1893,Cairo,Egypt,20.57,20.917
1894,Cairo,Egypt,20.95,20.989
1895,Cairo,Egypt,20.97,20.995
1896,Cairo,Egypt,21.17,21.057
1897,Cairo,Egypt,20.82,21.018
1898,Cairo,Egypt,20.92,21.006
1899,Cairo,Egypt,21.04,21.005
1900,Cairo,Egypt,21.57,21.053
1901,Cairo,Egypt,21.89,21.129
1902,Cairo,Egypt,21.36,21.126
