year,city,country,avg_temp,MA
1848,Doha,Qatar,26.14,
1849,Doha,Qatar,26.34,
1850,Doha,Qatar,25.96,
1851,Doha,Qatar,26.6,
1852,Doha,Qatar,26.47,
1853,Doha,Qatar,26.42,
1854,Doha,Qatar,23.17,
1855,Doha,Qatar,22.92,
1856,Doha,Qatar,26.25,
1857,Doha,Qatar,25.92,25.619
1858,Doha,Qatar,,25.56111111
1859,Doha,Qatar,,25.46375
1860,Doha,Qatar,29.7,25.93125
1861,Doha,Qatar,25.86,25.83875
1862,Doha,Qatar,25.54,25.7225
1863,Doha,Qatar,23.56,25.365
1864,Doha,Qatar,26.4,25.76875
1865,Doha,Qatar,26.65,26.235
1866,Doha,Qatar,26.42,26.25625
1867,Doha,Qatar,26.74,26.35875
1868,Doha,Qatar,26.63,26.38888889
1869,Doha,Qatar,26.84,26.434
1870,Doha,Qatar,26.57,26.121
1871,Doha,Qatar,26.43,26.178
1872,Doha,Qatar,26.47,26.271
1873,Doha,Qatar,26.77,26.592
1874,Doha,Qatar,26.58,26.61
1875,Doha,Qatar,26.3,26.575
1876,Doha,Qatar,26.48,26.581
1877,Doha,Qatar,26.96,26.603
1878,Doha,Qatar,26.95,26.635
1879,Doha,Qatar,26.58,26.609
1880,Doha,Qatar,26.41,26.593
1881,Doha,Qatar,27.16,26.666
1882,Doha,Qatar,26.33,26.652
1883,Doha,Qatar,26.73,26.648
1884,Doha,Qatar,26.46,26.636
1885,Doha,Qatar,26.49,26.655
1886,Doha,Qatar,26.7,26.677
1887,Doha,Qatar,26.38,26.619
1888,Doha,Qatar,26.68,26.592
1889,Doha,Qatar,26.99,26.633
1890,Doha,Qatar,26.55,26.647
1891,Doha,Qatar,26.84,26.615
1892,Doha,Qatar,26.84,26.666
1893,Doha,Qatar,26.77,26.67
1894,Doha,Qatar,26.44,26.668
1895,Doha,Qatar,26.33,26.652
1896,Doha,Qatar,26.51,26.633
1897,Doha,Qatar,26.47,26.642
1898,Doha,Qatar,26.31,26.605
1899,Doha,Qatar,26.76,26.582
1900,Doha,Qatar,26.8,26.607
1901,Doha,Qatar,26.98,26.621
1902,Doha,Qatar,26.91,26.628
1903,Doha,Qatar,26.2,26.571
1904,Doha,Qatar,26.73,26.6
1905,Doha,Qatar,26.61,26.628
1906,Doha,Qatar,26.54,26.631
1907,Doha,Qatar,26.33,26.617
1908,Doha,Qatar,26.64,26.65
1909,Doha,Qatar,26.98,26.672
1910,Doha,Qatar,26.21,26.613
1911,Doha,Qatar,25.83,26.498
1912,Doha,Qatar,26.51,26.458
1913,Doha,Qatar,26.55,26.493
1914,Doha,Qatar,26.72,26.492
1915,Doha,Qatar,27.03,26.534
1916,Doha,Qatar,26.3,26.51
1917,Doha,Qatar,26.48,26.525
1918,Doha,Qatar,26.26,26.487
1919,Doha,Qatar,26.72,26.461
1920,Doha,Qatar,26.65,26.505
1921,Doha,Qatar,26.5,26.572
1922,Doha,Qatar,26.99,26.62
1923,Doha,Qatar,26.59,26.624
1924,Doha,Qatar,27.29,26.681
1925,Doha,Qatar,26.52,26.63
1926,Doha,Qatar,26.83,26.683
1927,Doha,Qatar,26.67,26.702
1928,Doha,Qatar,26.71,26.747
1929,Doha,Qatar,26.85,26.76
1930,Doha,Qatar,26.76,26.771
1931,Doha,Qatar,26.8,26.801
1932,Doha,Qatar,26.49,26.751
1933,Doha,Qatar,26.23,26.715
1934,Doha,Qatar,26.47,26.633
1935,Doha,Qatar,26.94,26.675
1936,Doha,Qatar,26.56,26.648
1937,Doha,Qatar,26.5,26.631
1938,Doha,Qatar,26.74,26.634
1939,Doha,Qatar,26.59,26.608
1940,Doha,Qatar,26.98,26.63
1941,Doha,Qatar,27,26.65
1942,Doha,Qatar,27.13,26.714
1943,Doha,Qatar,26.69,26.76
1944,Doha,Qatar,27.11,26.824
1945,Doha,Qatar,26.75,26.805
1946,Doha,Qatar,27.31,26.88
1947,Doha,Qatar,27.48,26.978
1948,Doha,Qatar,26.69,26.973
1949,Doha,Qatar,26.47,26.961
1950,Doha,Qatar,26.36,26.899
1951,Doha,Qatar,27.18,26.917
1952,Doha,Qatar,27.01,26.905
1953,Doha,Qatar,27.09,26.945
1954,Doha,Qatar,27.28,26.962
1955,Doha,Qatar,26.93,26.98
1956,Doha,Qatar,26.66,26.915
1957,Doha,Qatar,26.6,26.827
1958,Doha,Qatar,27.18,26.876
1959,Doha,Qatar,26.32,26.861
1960,Doha,Qatar,27.1,26.935
1961,Doha,Qatar,26.77,26.894
1962,Doha,Qatar,27.21,26.914
1963,Doha,Qatar,26.94,26.899
1964,Doha,Qatar,26.33,26.804
