year,city,country,avg_temp,MA
1848,Riyadh,Saudi Arabia,24.56,
1849,Riyadh,Saudi Arabia,24.8,
1850,Riyadh,Saudi Arabia,24.34,
1851,Riyadh,Saudi Arabia,25.03,
1852,Riyadh,Saudi Arabia,24.85,
1853,Riyadh,Saudi Arabia,24.93,
1854,Riyadh,Saudi Arabia,24.72,
1855,Riyadh,Saudi Arabia,24.92,
1856,Riyadh,Saudi Arabia,24.57,
1857,Riyadh,Saudi Arabia,24.26,24.698
1858,Riyadh,Saudi Arabia,25.01,24.743
1859,Riyadh,Saudi Arabia,24.95,24.758
1860,Riyadh,Saudi Arabia,24.94,24.818
1861,Riyadh,Saudi Arabia,24.13,24.728
1862,Riyadh,Saudi Arabia,23.77,24.62
1863,Riyadh,Saudi Arabia,24.28,24.555
1864,Riyadh,Saudi Arabia,25.03,24.586
1865,Riyadh,Saudi Arabia,25.23,24.617
1866,Riyadh,Saudi Arabia,24.92,24.652
1867,Riyadh,Saudi Arabia,25.22,24.748
1868,Riyadh,Saudi Arabia,25,24.747
1869,Riyadh,Saudi Arabia,25.3,24.782
1870,Riyadh,Saudi Arabia,25.02,24.79
1871,Riyadh,Saudi Arabia,24.73,24.85
1872,Riyadh,Saudi Arabia,24.87,24.96
1873,Riyadh,Saudi Arabia,25.24,25.056
1874,Riyadh,Saudi Arabia,24.98,25.051
1875,Riyadh,Saudi Arabia,24.43,24.971
1876,Riyadh,Saudi Arabia,24.89,24.968
1877,Riyadh,Saudi Arabia,25.47,24.993
1878,Riyadh,Saudi Arabia,25.51,25.044
1879,Riyadh,Saudi Arabia,25.24,25.038
1880,Riyadh,Saudi Arabia,24.8,25.016
1881,Riyadh,Saudi Arabia,25.63,25.106
1882,Riyadh,Saudi Arabia,24.66,25.085
1883,Riyadh,Saudi Arabia,25.19,25.08
1884,Riyadh,Saudi Arabia,24.8,25.062
1885,Riyadh,Saudi Arabia,24.98,25.117
1886,Riyadh,Saudi Arabia,24.98,25.126
1887,Riyadh,Saudi Arabia,24.81,25.06
1888,Riyadh,Saudi Arabia,25.13,25.022
1889,Riyadh,Saudi Arabia,25.52,25.05
1890,Riyadh,Saudi Arabia,25.07,25.077
1891,Riyadh,Saudi Arabia,25.39,25.053
1892,Riyadh,Saudi Arabia,25.22,25.109
1893,Riyadh,Saudi Arabia,25.19,25.109
1894,Riyadh,Saudi Arabia,24.66,25.095
1895,Riyadh,Saudi Arabia,24.69,25.066
1896,Riyadh,Saudi Arabia,24.88,25.056
1897,Riyadh,Saudi Arabia,24.86,25.061
1898,Riyadh,Saudi Arabia,24.88,25.036
